topic;words;themes;category;primitives
0;"['wolkachtig' 'verdonkerd' 'buiachtig' 'motbuitjes' 'wolkentjes' 'verdund'
 'verhelderd' 'wolkens' 'vaak' 'verheldert' 'dijzig' 'verdikt' 'eindelijk'
 'broeische' 'welhaast' 'iets' 'verdonkert' 'betrekt' 'voormiddags'
 'wakkert' 'zwoel' 'westelijk' 'verdikkende' 'zuidelijk' 'oostelijk'
 'enkelde' 'windje' 'mottig' 'betrokken' 'koppige' 'daauw' 'doodstil'
 'stovend' 'soms' 'eigen' 'verergerd' 'rooklucht' 'aanzien' 'bijzonder'
 'bleek' 'broeisch' 'dwarrelend' 'stovende' 'ofschoon' 'mooi' 'mogelijk'
 'zeedampen' 'gaat' 'helder' 'noordelijk']";0. Weather conditions;1;5173
1;"['overleede' 'do' 'hat' 'genaampt' 'weeduwe' 'elendig' 'overleeden'
 'gehat' 'augst' 'edl' 'weed' 'juffrou' 'mevrou' 'edelachtbare' 'haar'
 'makelaar' 'braaf' 'waater' 'voornaam' 'huijsvrou' 'laat' 'swaar' 'waar'
 'niwe' 'jaaren' 'oostindise' 'tusse' 'swaare' 'leeven' 'vrinde' 'stark'
 'dri' 'mejuffrou' 'sodat' 'henderik' 'bewinthebber' 'gaan' 'daan' 'maar'
 'na' 'getrout' 'vrindelijk' 'kreeg' 'daar' 'vrou' 'plaats' 'ge'
 'erfgenaam' 'gegaan' 'gehaalt']";1. Death and relatives;9;3112
2;"['doornijck' 'cortrijck' 'dewelcke' 'ghemaekt' 'gonne' 'gheallieerde'
 'oock' 'becommen' 'ghepasseert' 'conijnck' 'casselrije' 'cant' 'ghestelt'
 'maecken' 'waerover' 'commen' 'spagniaerts' 'ghecampeert' 'alsoo'
 'mergens' 'cronijcke' 'connen' 'anderdaghs' 'eenighe' 'wegh' 'gentsche'
 'vranckrijck' 'oorsaecke' 'volck' 'daeghe' 'spansche' 'vlanderen'
 'housaeren' 'ghecommen' 'daernaer' 'ijper' 'soodat' 'belegh' 'prochien'
 'borghers' 'harlebeke' 'commende' 'ghesteken' 'maer' 'ghelijck' 'welck'
 'gecommen' 'ghetrocken' 'prochie' 'rijssel']";2. War;2;2149
3;"['le' 'les' 'au' 'dont' 'dans' 'la' 'ailleurs' 'pour' 'ainsi' 'interets'
 'dernier' 'sont' 'deja' 'qu' 'un' 'il' 'on' 'qui' 'empecher' 'est'
 'auroit' 'que' 'quel' 'aux' 'sur' 'titre' 'du' 'cette' 'premiers' 'etoit'
 'plus' 'consequence' 'payer' 'ont' 'ce' 'grands' 'prendre' 'bien' 'loin'
 'une' 'peut' 'juin' 'faits' 'droits' 'moyens' 'par' 'ici' 'cela' 'meme'
 'ete']";3. *French language*;14;1971
4;"['souldaten' 'uut' 'ypere' 'capyteyn' 'venderen' 'zeydemen' 'typer'
 'oostendenaers' 'gheschoot' 'ghelycke' 'ghecommen' 'datter' 'ghedeel'
 'ghewerre' 'poperynghe' 'boorghers' 'allaerme' 'ghecreghen'
 'tsanderdaechts' 'ghezonden' 'meenene' 'tghemeene' 'zeere' 'lanslieden'
 'gheweist' 'capyteynen' 'eenighe' 'ryssele' 'gheen' 'perden' 'twas'
 'wasser' 'zynne' 'laghen' 'hemlien' 'wastene' 'oosthende' 'venders'
 'gheheel' 'ghesleghen' 'ghezien' 'ghelt' 'ghynck' 'mydts' 'ghevanghen'
 'beghonste' 'waelen' 'coorterycke' 'altyts' 'buut']";4. Soldiers and troups;2;1878
5;"['hooftschepenen' 'minderwetten' 'hooftcollegie' 'voorseyde' 'tydt'
 'waesmunster' 'kemseke' 'voorseyden' 'waes' 'hoochballiu' 'themsche'
 'maend' 'gone' 'moerbeke' 'alswanneer' 'hoogballiu' 'prochie' 'balliu'
 'tyde' 'prochien' 'syn' 'belcele' 'rygelden' 'steelant' 'raedt' 'stekene'
 'wissekercke' 'rupelmonde' 'nicolaes' 'aertshertog' 'aengestelt' 'staet'
 'lokeren' 'recht' 'boudeloo' 'beveren' 'synde' 'naementlyk' 'gendt' 'sy'
 'gelegentheyt' 'gene' 'gelyk' 'by' 'calloo' 'exaerde' 'aen' 'achtervolgt'
 'jo' 'boudewyn']";5. Regional government;3;1389
6;"['spaengaerden' 'volck' 'soldaten' 'knechten' 'uut' 'voirß' 'oyck' 'monss'
 'walen' 'soe' 'wederomme' 'spaensche' 'vendelen' 'inne' 'geusen' 'comen'
 'gecomen' 'ingecomen' 'laghen' 'welck' 'datter' 'casteel' 'nijet'
 'voetknechten' 'oijck' 'wesende' 'waelen' 'spangers' 'guesen' 'coronel'
 'datmen' 'terstont' 'vyant' 'wech' 'alsoe' 'hertooch' 'nochtans'
 'trocken' 'victalie' 'twelck' 'faendelen' 'gebrocht' 'nae' 'uuijt'
 'ghewelt' 'drye' 'duytsche' 'comende' 'quamen' 'oeck']";6. Siege and campaign;2;1372
7;"['eodem' 'governeur' 'captijn' 'gemackt' 'vuchterpoort' 'sulxs' 'bos'
 'paert' 'welck' 'janskerck' 'graeff' 'comende' 'janspoort' 'voorsijde'
 'majestijt' 'huijssen' 'gemact' 'gecomen' 'spangers' 'predicaren' 'aff'
 'borgeren' 'lijff' 'snachs' 'haer' 'genoch' 'vijff' 'gebrocht' 'hooffden'
 'hijlige' 'seeckere' 'leupens' 'sall' 'bolwerck' 'gerit' 'geseth'
 'meijerije' 'gecregen' 'gescooten' 'ghescooten' 'kijser' 'quaem' 'beseth'
 'duijtse' 'vucht' 'geset' 'wilm' 'hijligen' 'afgebroocken' 'daerenboven']";7. Infrastructure;5;1279
8;"['ygelick' 'wuyt' 'soudaeten' 'spaengers' 'tegenwoerdelick' 'verhoerden'
 'opelick' 'overmids' 'oeck' 'nieuwerts' 'goosen' 'geboerde' 'doerdien'
 'gestadelick' 'scansen' 'tevoeren' 'voerens' 'geheelick' 'denselfde'
 'obedia' 'sonderling' 'tamsterdam' 'gosen' 'oersaeck' 'crigen'
 'verloepen' 'dieselfde' 'conincks' 'goesen' 'soeveel' 'waerdoer' 'ntie'
 'prinsch' 'lantluyden' 'tselfde' 'malcander' 'hierdoer' 'bangicheyt'
 'religioes' 'hoerden' 'armey' 'gecoemen' 'voerts' 'bedroufde' 'geteykent'
 'genouch' 'geleyen' 'coemende' 'oerlochscepen' 'tgunt']";8. War and religion;2;1276
9;"['leuve' 'scheepmakers' 'bregge' 'schiedamse' 'betimmert' 'gemetselt'
 'delfse' 'aande' 'haven' 'getimmert' 'vest' 'brughe' 'houte' 'gediept'
 'erven' 'steene' 'oostpoort' 'onbetimmerde' 'poort' 'steen' 'hoogstraat'
 'geleit' 'dwars' 'zuijdzijde' 'timmeren' 'verkoft' 'warent' 'worde'
 'ghulden' 'noordzijde' 'afgebroken' 'brug' 'opte' 'straat' 'haringvliet'
 'leggende' 'aende' 'kade' 'wederzijden' 'sijde' 'gemaakt' 'muur'
 'selffde' 'geleijt' 'oude' 'sloot' 'gemaeckt' 'havens' 'gebroocken'
 'aant']";9. City construction;5;1239
